0,1.7413,2048,3.111e-05,2.1341e-10,1.7424
1,1.8443,2048,3.3211e-05,2.1178e-10,1.8456
2,2.6845,2048,3.5789e-05,3.4105e-10,2.6853
3,2.2757,2048,3.1503e-05,5.007e-10,2.2762
4,2.1285,2048,2.6677e-05,1.6573e-10,2.1292
5,2.1261,2048,3.7406e-05,3.3159e-10,2.1274
6,1.9621,2048,3.2599e-05,2.0675e-10,1.9631
7,2.3084,2048,3.4656e-05,2.2778e-10,2.3097
8,2.414,2048,3.0345e-05,2.0225e-10,2.4147
9,2.6532,2048,3.1489e-05,2.2273e-10,2.654
10,2.4154,2048,3.8626e-05,7.5537e-10,2.4162
11,2.2545,2048,2.642e-05,1.5989e-10,2.2554
12,1.7715,2048,3.1766e-05,2.0062e-10,1.7728
13,2.4579,2048,3.0189e-05,1.8152e-10,2.459
14,1.8931,2048,3.1632e-05,1.9416e-10,1.8942
15,2.5939,2048,3.664e-05,2.418e-10,2.595
16,2.1846,2048,3.2429e-05,2.4166e-10,2.1855
17,1.9708,2048,3.137e-05,1.9112e-10,1.9718
18,2.0151,2048,3.8456e-05,2.5033e-10,2.0167
19,2.4712,2048,3.4744e-05,2.2896e-10,2.4724
20,2.4472,2048,3.1383e-05,1.8927e-10,2.4482
21,2.0902,2048,3.2126e-05,2.3059e-10,2.0912
22,2.2959,2048,2.7866e-05,1.8772e-10,2.2967
23,2.2949,2048,2.8532e-05,1.9309e-10,2.2956
24,2.2002,2048,2.9845e-05,1.7283e-10,2.2013
25,1.9261,2048,1.9873e-05,1.2882e-10,1.9266
26,1.9418,2048,3.7027e-05,2.4922e-10,1.9429
27,1.7564,2048,3.2165e-05,1.9781e-10,1.7575
28,1.792,2048,3.3016e-05,2.0115e-10,1.7933
29,2.2019,2048,3.1557e-05,2.0105e-10,2.203
30,2.2121,2048,3.0931e-05,1.859e-10,2.2133
31,2.3765,2048,4.0954e-05,2.3481e-10,2.3782
32,2.6998,2048,3.93e-05,2.5674e-10,2.7013
33,2.2481,2048,3.669e-05,2.3374e-10,2.2494
34,1.9017,2048,1.9295e-05,1.2518e-10,1.9022
35,2.4249,2048,2.3939e-05,1.4418e-10,2.4256
36,1.9939,2048,3.6837e-05,2.4119e-10,1.9951
37,2.5927,2048,2.848e-05,1.7547e-10,2.5935
38,1.7979,2048,3.3405e-05,2.4229e-10,1.7994
39,2.2238,2048,3.303e-05,2.1716e-10,2.2248
40,2.1166,2048,3.5036e-05,2.196e-10,2.118
41,1.9646,2048,3.1746e-05,1.9595e-10,1.9657
42,2.3132,2048,3.3431e-05,1.9328e-10,2.3142
43,2.4188,4096,8.4957e-07,2.718e-11,2.4195
44,2.2197,2048,4.0152e-05,2.9713e-10,2.2211
